Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\iotaSniff\Project Outputs for iotaSniff\Pick Place for tinySniff.csv

========================================================================================================================
File Design Information:

Date:       18/02/26
Time:       14:07
Revision:   7f7eee2509b5e99895cf059c94b4187541441478
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R6","4.7KOhm","TopLayer","1206_Passive_Resitor","13.4000","39.8250","0","4.7kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R5","100KOhm","TopLayer","1206_Passive_Resitor","10.9750","28.4250","270","100kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R4","4.7KOhm","TopLayer","1206_Passive_Resitor","24.0750","8.1500","180","4.7kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R3","100KOhm","TopLayer","1206_Passive_Resitor","26.5000","19.7250","90","100kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R2","4.7KOhm","TopLayer","1206_Passive_Resitor","33.9750","40.0500","0","4.7kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R1","100KOhm","TopLayer","1206_Passive_Resitor","31.6500","28.5750","270","100kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"IC3","AP2112K-2.5TRG1","TopLayer","SOT95P285X140-5N","14.7500","28.4000","0","600mA 1.8V LDO Regulator Enable SOT23-5"
"IC2","AP2112K-1.8TRG1","TopLayer","SOT95P285X140-5N","22.6000","19.7750","180","600mA 1.8V LDO Regulator Enable SOT23-5"
"C12","100nF","TopLayer","1206_Passive_Capacitor","8.3500","34.8250","90","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C11","100nF","TopLayer","1206_Passive_Capacitor","18.5500","34.7750","270","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C10","1uF","TopLayer","1206_Passive_Capacitor","18.5500","28.4500","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C9","1uF","TopLayer","1206_Passive_Capacitor","8.3500","28.4500","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C8","100nF","TopLayer","1206_Passive_Capacitor","29.3000","13.2250","270","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C7","100nF","TopLayer","1206_Passive_Capacitor","18.8750","13.2000","90","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C6","1uF","TopLayer","1206_Passive_Capacitor","18.8750","19.6750","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C5","1uF","TopLayer","1206_Passive_Capacitor","29.3000","19.7500","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C4","100nF","TopLayer","1206_Passive_Capacitor","28.9500","35.2750","90","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","100nF","TopLayer","1206_Passive_Capacitor","39.0500","35.2750","270","100nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C2","1uF","TopLayer","1206_Passive_Capacitor","39.0750","28.5750","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C1","1uF","TopLayer","1206_Passive_Capacitor","29.0000","28.5750","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"S3","GMV-2021B","TopLayer","QFN127P500X500X155_HS-9N","13.4000","35.0000","180","Generic MEMS footprint for GM series devices from Winsen"
"S2","GM-602B","TopLayer","QFN127P500X500X155_HS-9N","24.1000","12.9500","0","Generic MEMS footprint for GM series devices from Winsen"
"IC1","AP2112K-2.6TRG1","TopLayer","SOT95P285X140-5N","35.4000","28.5000","0","600mA 1.8V LDO Regulator Enable SOT23-5"
"S1","GM-402B","TopLayer","QFN127P500X500X155_HS-9N","34.0000","35.2250","180","Generic MEMS footprint for GM series devices from Winsen"
"J4","HTSW-109-07-X-SJ","TopLayer","JM-9_HTSW-109-07-X-S","24.1250","3.2500","0","2.54mm Black 1x9P Straight,P=2.54mm Pin Headers"
"J3","PPTC081LFBN-RC","BottomLayer","8_PIN_100MIL_-_Female","46.4000","24.1150","90","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","PPTC081LFBN-RC","BottomLayer","8_PIN_100MIL_-_Female","1.9000","24.1100","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
